nacmay,nacmin,nacafi
El,el,el
La,la,la
Los,los,los
Las,las,las
Al,al,al
Del,del,ð̞el
Mi,mi,mi
Tu,tu,t̪u
Su,su,su
Mis,mis,mis
Tus,tus,t̪us
Sus,sus,sus
Nuestro,nuestro,nu̯est̪ɾo
Nuestra,nuestra,nu̯est̪ɾa
Nuestros,nuestros,nu̯est̪ɾos
Nuestras,nuestras,nu̯est̪ɾas
Vuestro,vuestro,β̞u̯est̪ɾo
Vuestra,vuestra,β̞u̯est̪ɾa
Vuestros,vuestros,β̞u̯est̪ɾos
Vuestras,vuestras,β̞u̯est̪ɾas
Me,me,me
Te,te,t̪e
Lo,lo,lo
Se,se,se
Nos,nos,nos
Os,os,os
Le,le,le
Les,les,les
Que,que,ke
Quien,quien,ki̯en
Cuanto,cuanto,ku̯ant̪o
Cuando,cuando,ku̯anð̞o
Como,como,komo
Donde,donde,ð̞onð̞e
A,a,a
Ante,ante,ant̪e
Bajo,bajo,β̞axo
Con,con,kon
Contra,contra,kont̪ɾa
De,de,ð̞e
Desde,desde,ð̞esð̞e
En,en,en
Entre,entre,ent̪ɾe
Hacia,hacia,aθi̯a
Hasta,hasta,ast̪a
Para,para,paɾa
Por,por,poɾ
Sin,sin,sin
Sobre,sobre,soβ̞ɾe
Tras,tras,t̪ɾas
Mediante,mediante,með̞i̯ant̪e
Durante,durante,ð̞uɾant̪e
Excepto,excepto,eksθept̪o
Salvo,salvo,salβ̞o
Don,don,ð̞on
Doña,doña,ð̞oɲa
San,san,san
Santa,santa,sant̪a
Y,y,i
E,e,e
Ni,ni,ni
O,o,o
U,u,u
Pero,pero,peɾo
Aunque,aunque,au̯nke
Aun,aun,au̯n
Sino,sino,sino
Porque,porque,poɾke
Pues,pues,pu̯es
Si,si,si
Mientras,mientras,mi̯ent̪ɾas
Luego,luego,lu̯eɣ̞o
Conque,conque,konke
Mas,mas,mas
Medio,medio,með̞i̯o
Tan,tan,t̪an
